id,district,area_sqm,bedrooms,living_rooms,bathrooms,floor,total_floors,has_elevator,building_age_years,orientation,decoration,property_type,developer,subway_line,subway_distance_m,school_district_tier,west_lake_distance_m,green_ratio,parking_ratio,management_fee_yuan_per_sqm,listing_date,listing_duration_days,price_adjustments_count,unit_price_yuan_per_sqm,total_price_wan
1,西湖区,112.4,3,1,3,8,18,1,4,South,毛坯 (Rough),住宅 (Residential),中海 (COHL),Line 2,2738,C,24423,0.32,,5.73,3/5/2024,419,1,53167,597.6
2,萧山区,97.8,3,2,3,2,6,1,15,South,豪华 (Luxury),住宅 (Residential),,Line 2,,B,1247,0.37,0.64,,1/23/2024,443,1,37711,368.81
3,临安区,70.4,2,2,2,7,18,1,34,East,毛坯 (Rough),住宅 (Residential),中海 (COHL),Line 1,419,B,1146,0.25,1.44,5.16,10/1/2023,636,,12077,85.02
4,西湖区,90.1,3,2,3,4,11,1,3,Northeast,豪华 (Luxury),公寓 (Apartment),滨江 (Binjiang),Line 5,,C,11585,0.38,0.81,4.88,8/5/2023,676,3,54764,493.42
5,余杭区,48.5,1,1,1,15,18,1,1,Southeast,精装 (Fine),住宅 (Residential),,Line 2,2315,C,11016,0.44,1.34,6.36,4/23/2023,727,1,30432,147.6
6,临平区,176.9,5,1,4,15,18,1,13,Northeast,精装 (Fine),住宅 (Residential),中海 (COHL),,4068,A,12027,0.31,0.51,2.79,9/27/2023,615,2,36777,650.59
7,富阳区,127.6,3,2,2,20,33,1,23,,,别墅 (Villa),中海 (COHL),Line 7,127,B,7875,0.27,0.87,5.85,11/11/2023,536,0,27474,350.57
8,临安区,128.3,4,2,3,4,6,1,17,North,精装 (Fine),住宅 (Residential),,Line 7,200,C,,,,6.12,12/31/2024,129,0,19559,250.94
9,余杭区,89.7,2,1,1,4,18,1,0,South,精装 (Fine),住宅 (Residential),万科 (Vanke),Line 1,321,C,11678,0.4,0.73,2,10/13/2023,620,1,36647,328.72
10,富阳区,66.7,2,1,2,31,33,1,4,West,精装 (Fine),别墅 (Villa),万科 (Vanke),Line 6,527,A,28047,0.41,1.4,3.57,12/14/2023,486,0,38106,254.17
11,滨江区,86,3,1,2,3,11,1,13,Southeast,毛坯 (Rough),商住两用 (Mixed),本地开发商 (Local),Line 4,,C,,,,,6/20/2023,702,1,30780,264.71
12,滨江区,78.1,3,2,2,11,33,1,5,Southeast,,商住两用 (Mixed),融创 (Sunac),,151,,27082,0.37,1,1.83,3/1/2023,835,2,39765,310.56
13,上城区,111.7,3,2,3,5,6,1,9,South,毛坯 (Rough),别墅 (Villa),龙湖 (Longfor),Line 7,317,C,,,0.87,3.07,2/10/2023,859,0,80201,895.85
14,临安区,90.2,3,1,3,9,18,1,2,East,简装 (Simple),公寓 (Apartment),万科 (Vanke),Line 10,223,B,12811,,,,3/17/2023,813,0,21040,189.78
15,萧山区,117.7,4,1,3,3,18,1,21,Southwest,,公寓 (Apartment),万科 (Vanke),Line 5,437,,24257,,1.38,3.18,5/18/2023,716,0,19137,225.24
16,西湖区,131.5,3,2,3,5,11,1,16,Southeast,,公寓 (Apartment),万科 (Vanke),Line 10,484,C,6108,0.32,,6.22,5/14/2023,768,,51813,681.34
17,拱墅区,116.6,3,2,2,14,26,1,10,South,精装 (Fine),住宅 (Residential),龙湖 (Longfor),Line 2,,C,3098,0.25,0.66,,2/10/2023,825,0,54135,631.21
18,滨江区,131.7,3,2,3,18,18,1,15,,,公寓 (Apartment),本地开发商 (Local),Line 6,776,B,,0.39,,5.03,2/26/2024,484,3,46953,618.37
19,滨江区,174.6,5,1,4,4,26,1,7,West,豪华 (Luxury),别墅 (Villa),滨江 (Binjiang),Line 1,526,B,,0.35,0.7,6.2,3/13/2023,784,0,99173,1731.56
20,富阳区,57.5,2,1,2,22,33,1,,East,毛坯 (Rough),住宅 (Residential),华润 (CR Land),Line 2,,B,,0.34,1.47,7.76,1/30/2024,499,0,20276,116.59
21,上城区,79.2,2,2,2,5,6,1,32,,精装 (Fine),公寓 (Apartment),绿城 (Greentown),Line 16,380,C,,,0.71,5.86,12/1/2023,537,2,37279,295.25
22,富阳区,49.3,2,1,2,13,18,1,22,South,简装 (Simple),住宅 (Residential),融创 (Sunac),,1310,B,29190,0.33,0.76,5.47,8/7/2023,667,1,13801,68.04
23,拱墅区,53.6,2,2,2,11,18,1,3,South,毛坯 (Rough),商住两用 (Mixed),中海 (COHL),,191,B,10853,,0.66,,8/12/2024,255,2,43508,233.2
24,临平区,100.2,2,1,2,11,11,1,29,North,豪华 (Luxury),公寓 (Apartment),龙湖 (Longfor),,4160,,13051,0.44,,6.97,5/17/2023,743,2,16796,168.3
25,富阳区,81.9,2,1,1,29,33,1,24,,精装 (Fine),住宅 (Residential),滨江 (Binjiang),Line 10,1158,,24098,0.34,0.58,1.66,6/17/2024,349,1,13853,113.46
26,萧山区,68,2,1,2,8,26,1,6,Northeast,精装 (Fine),住宅 (Residential),龙湖 (Longfor),Line 4,987,A,6343,0.4,1.05,5.48,3/6/2024,439,,42730,290.56
27,临安区,41.8,2,2,1,5,6,0,10,Southeast,精装 (Fine),住宅 (Residential),中海 (COHL),Line 5,4618,,,,0.97,2.14,1/30/2023,840,0,11168,46.68
28,临平区,25,1,2,1,9,33,1,,South,精装 (Fine),别墅 (Villa),绿城 (Greentown),Line 7,,C,19207,0.38,0.66,,12/12/2023,523,0,28994,72.48
29,临平区,87.9,3,1,3,1,6,0,26,South,毛坯 (Rough),住宅 (Residential),本地开发商 (Local),,277,A,,0.36,,4.01,4/28/2023,775,,17408,153.02
30,钱塘区,104.8,2,2,2,6,26,1,24,East,精装 (Fine),别墅 (Villa),融创 (Sunac),,1614,,6974,,0.85,,7/23/2023,626,1,26288,275.5
31,滨江区,91.8,2,1,1,22,26,1,19,Southeast,精装 (Fine),住宅 (Residential),保利 (Poly),Line 2,,,8073,,,7.55,1/6/2024,531,3,38007,348.9
32,钱塘区,87.4,2,2,1,17,18,1,,Southeast,精装 (Fine),住宅 (Residential),,Line 4,3609,C,10728,,1.4,,9/7/2023,630,1,33866,295.99
33,临平区,85.5,3,1,2,11,18,1,3,Northeast,简装 (Simple),住宅 (Residential),,,4640,B,,0.44,,2.24,9/4/2023,662,1,24197,206.88
34,钱塘区,106.4,3,1,3,3,6,1,3,Southeast,精装 (Fine),住宅 (Residential),华润 (CR Land),Line 4,729,C,27575,0.26,1.32,6.09,7/17/2023,663,0,34141,363.26
35,富阳区,135.4,3,3,2,7,26,1,0,East,毛坯 (Rough),住宅 (Residential),滨江 (Binjiang),Line 7,4986,,29307,0.36,0.92,,10/8/2023,545,,21702,293.85
36,富阳区,94.3,2,1,2,32,33,1,3,,简装 (Simple),别墅 (Villa),万科 (Vanke),Line 1,416,C,6072,0.37,1.46,3.94,12/3/2024,124,0,36824,347.25
37,临安区,119.2,4,2,3,2,6,1,1,Southeast,精装 (Fine),别墅 (Villa),,Line 9,1702,B,23843,0.27,0.67,2.91,4/12/2023,745,1,27934,332.97
38,萧山区,63.6,1,2,1,3,11,1,14,South,简装 (Simple),住宅 (Residential),本地开发商 (Local),Line 2,1471,C,19337,0.29,0.96,3.8,10/2/2024,255,2,27312,173.7
39,滨江区,68.4,1,1,1,5,18,1,,Northeast,精装 (Fine),住宅 (Residential),绿城 (Greentown),Line 19,300,B,5956,0.27,1.44,,5/27/2024,377,1,63394,433.61
40,西湖区,122.3,4,1,4,21,33,1,15,Southwest,毛坯 (Rough),公寓 (Apartment),本地开发商 (Local),Line 1,473,C,,0.33,,4.05,6/15/2024,372,1,45455,555.91
41,萧山区,104.1,2,1,2,21,26,1,15,South,简装 (Simple),住宅 (Residential),,,1017,C,5756,0.45,1.06,6.5,2/7/2023,841,0,34444,358.56
42,萧山区,84,3,1,2,26,33,1,15,South,精装 (Fine),住宅 (Residential),龙湖 (Longfor),Line 19,468,,24430,0.27,1.17,4.88,5/15/2023,722,1,26857,225.6
43,钱塘区,99,3,1,2,16,33,1,31,,毛坯 (Rough),商住两用 (Mixed),中海 (COHL),Line 4,211,C,9996,0.39,,2.39,12/23/2024,132,1,20657,204.5
44,钱塘区,34.4,1,3,1,9,11,1,1,South,豪华 (Luxury),别墅 (Villa),保利 (Poly),Line 3,1041,C,5180,,1.43,4.7,11/2/2023,590,1,46390,159.58
45,钱塘区,85.2,3,2,3,16,18,1,6,North,精装 (Fine),住宅 (Residential),滨江 (Binjiang),Line 7,1246,C,9254,,1.08,4.1,12/23/2024,146,0,30025,255.81
46,拱墅区,63.2,2,1,2,5,6,1,,South,毛坯 (Rough),别墅 (Villa),,Line 2,2171,A,,0.26,,3.31,9/30/2024,270,0,70476,445.41
47,西湖区,91.3,3,2,3,25,33,1,,Southwest,简装 (Simple),公寓 (Apartment),滨江 (Binjiang),Line 9,4644,C,15240,0.39,,,10/10/2024,262,3,47692,435.43
48,钱塘区,101.2,2,1,1,1,18,1,1,Southeast,精装 (Fine),公寓 (Apartment),绿城 (Greentown),Line 16,315,B,9842,0.28,,6.99,9/4/2023,637,,32175,325.61
49,拱墅区,82.5,2,1,1,15,26,1,11,,精装 (Fine),住宅 (Residential),中海 (COHL),Line 1,2562,,16229,0.32,0.62,7.29,11/6/2023,536,,39031,322.01
50,钱塘区,154,4,1,3,12,18,1,6,East,精装 (Fine),公寓 (Apartment),本地开发商 (Local),,327,,17943,0.37,1.06,3.96,10/21/2023,556,1,31272,481.59
51,余杭区,119.9,4,1,4,5,11,1,27,,精装 (Fine),住宅 (Residential),龙湖 (Longfor),Line 16,2812,,28117,0.32,,7.03,10/30/2023,559,2,19903,238.64
52,拱墅区,101.1,2,1,2,12,26,1,12,Southeast,豪华 (Luxury),公寓 (Apartment),保利 (Poly),,1693,B,23703,0.35,,2.83,8/20/2023,675,2,42172,426.36
53,临平区,117.4,4,3,3,24,33,1,0,Northeast,简装 (Simple),住宅 (Residential),中海 (COHL),,419,A,7234,0.36,0.55,3.69,9/26/2024,257,0,38365,450.41
54,临安区,73.9,2,1,1,4,6,1,,Southeast,毛坯 (Rough),别墅 (Villa),绿城 (Greentown),Line 6,498,,4604,0.44,0.62,6.25,7/7/2024,320,1,31634,233.78
55,拱墅区,98,3,2,3,16,26,1,25,Southeast,简装 (Simple),住宅 (Residential),,,460,C,9941,0.41,,4.9,3/4/2023,808,0,33122,324.6
56,西湖区,125.5,3,2,3,6,33,1,15,East,毛坯 (Rough),住宅 (Residential),万科 (Vanke),Line 10,1074,A,12192,,0.88,5.03,8/27/2023,624,2,61756,775.04
57,临安区,103.2,2,1,2,10,33,1,,South,精装 (Fine),公寓 (Apartment),中海 (COHL),Line 7,4586,A,,0.36,,,3/7/2024,456,0,19159,197.72
